injected_ms,actual_ms,measured_ms,error_ms,nominal_error_ms,repetition,condition_profile,git_sha,run_at,environment
200,201.817,204.299,2.482,4.299,0,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,200.973,203.778,2.805,3.778,1,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.168,204.663,3.496,4.663,2,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,200.287,204.048,3.761,4.048,3,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,200.922,202.719,1.797,2.719,4,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.795,204.259,2.464,4.259,5,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,200.683,202.407,1.724,2.407,6,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.592,203.577,1.984,3.577,7,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.83,204.329,2.499,4.329,8,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.063,203.972,2.91,3.972,9,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,200.831,203.312,2.481,3.312,10,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.522,203.612,2.089,3.612,11,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,202.464,205.422,2.958,5.422,12,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.21,203.691,2.481,3.691,13,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,202.314,205.321,3.007,5.321,14,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.814,205.328,3.514,5.328,15,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.676,204.048,2.372,4.048,16,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,202.071,204.7,2.629,4.7,17,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,202.08,204.342,2.262,4.342,18,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
200,201.773,203.571,1.798,3.571,19,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
500,500.752,502.768,2.017,2.768,0,clean,61ef2ea23fa96aa1f672428d422dd06193e236bc,2026-09-11T08:17:33+00:00,Windows 11 / Python 3.12.10 / AMD64
